t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.002102,-3.900915,-1.898812,1.000000,0.000000
0.200000,1.878877,-3.777691,-1.898814,0.927955,0.371986
0.400000,1.837854,-3.736674,-1.898820,0.722564,0.690582
0.600000,1.817246,-3.716065,-1.898818,0.413325,0.909839
0.800000,1.800975,-3.699802,-1.898827,0.044692,0.998186
1.000000,1.796944,-3.695764,-1.898820,-0.330317,0.942940
1.200000,1.808679,-3.707481,-1.898802,-0.657760,0.752053
1.400000,1.798912,-3.697732,-1.898820,-0.890524,0.452928
1.600000,1.812165,-3.710990,-1.898825,-0.995176,0.088662
1.800000,1.816722,-3.715542,-1.898820,-0.956616,-0.288339
2.000000,1.802146,-3.700969,-1.898822,-0.780357,-0.623909
2.200000,1.819748,-3.718571,-1.898823,-0.491863,-0.869761
2.400000,1.832714,-3.731545,-1.898832,-0.132598,-0.990475
2.600000,1.844276,-3.743103,-1.898827,0.245786,-0.968710
2.800000,1.866314,-3.765132,-1.898818,0.588839,-0.807630
3.000000,1.855990,-3.754807,-1.898817,0.847147,-0.530365
3.200000,1.829648,-3.728464,-1.898817,0.983633,-0.176738
3.400000,1.821850,-3.720664,-1.898815,0.978658,0.202254
3.600000,1.805430,-3.704256,-1.898827,0.832877,0.552174
3.800000,1.810144,-3.708971,-1.898827,0.567274,0.822725
4.000000,1.853346,-3.752165,-1.898819,0.220195,0.974921
