t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.002102,-3.948819,-1.946717,1.000000,0.000000
0.200000,1.931548,-3.878051,-1.946503,0.924921,0.379953
0.400000,1.908528,-3.855046,-1.946517,0.711064,0.702915
0.600000,1.897414,-3.843920,-1.946506,0.390512,0.920376
0.800000,1.887509,-3.834018,-1.946509,0.011366,0.999688
1.000000,1.886563,-3.833069,-1.946507,-0.369469,0.928960
1.200000,1.894154,-3.840652,-1.946498,-0.694833,0.718805
1.400000,1.888530,-3.835038,-1.946508,-0.915889,0.400750
1.600000,1.894998,-3.841509,-1.946510,-0.999474,0.022550
1.800000,1.896448,-3.842954,-1.946507,-0.933032,-0.359028
2.000000,1.887784,-3.834291,-1.946508,-0.726522,-0.686731
2.200000,1.898529,-3.845041,-1.946511,-0.410974,-0.911370
2.400000,1.905549,-3.852062,-1.946514,-0.033736,-0.999212
2.600000,1.912631,-3.859142,-1.946511,0.348582,-0.937081
2.800000,1.925862,-3.872366,-1.946505,0.678589,-0.734313
3.000000,1.919055,-3.865559,-1.946504,0.906736,-0.421328
3.200000,1.904429,-3.850934,-1.946505,0.998804,-0.045081
3.400000,1.900378,-3.846882,-1.946504,0.940976,0.337916
3.600000,1.892567,-3.839076,-1.946509,0.741911,0.670203
3.800000,1.897834,-3.844340,-1.946507,0.431489,0.901918
4.000000,1.919702,-3.866208,-1.946506,0.056344,0.998265
