t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.251245,-0.420735,-0.169490,1.000000,0.000000
0.500000,0.229659,-0.399116,-0.169457,0.990011,0.096484
1.000000,0.257200,-0.426843,-0.169643,0.967839,0.191005
1.500000,0.295103,-0.464753,-0.169650,0.935941,0.279146
2.000000,0.326699,-0.496090,-0.169391,0.897920,0.359991
2.500000,0.338514,-0.507830,-0.169315,0.856591,0.434927
3.000000,0.327785,-0.496836,-0.169051,0.813122,0.506657
3.500000,0.294093,-0.462868,-0.168776,0.766306,0.577280
4.000000,0.245337,-0.414104,-0.168767,0.713227,0.647853
4.500000,0.196681,-0.365487,-0.168807,0.651186,0.717247
5.000000,0.161216,-0.330280,-0.169064,0.578411,0.782409
5.500000,0.144628,-0.313903,-0.169275,0.495751,0.838738
6.000000,0.151287,-0.320785,-0.169498,0.405310,0.883183
6.500000,0.184233,-0.353867,-0.169634,0.311894,0.914278
7.000000,0.223061,-0.392715,-0.169653,0.218966,0.931951
7.500000,0.260311,-0.429881,-0.169570,0.129357,0.939546
8.000000,0.280877,-0.450307,-0.169430,0.043340,0.940488
8.500000,0.290319,-0.459649,-0.169330,-0.039787,0.937794
9.000000,0.270633,-0.439612,-0.168980,-0.122268,0.931361
9.500000,0.229969,-0.398783,-0.168814,-0.207310,0.919951
10.000000,0.181896,-0.350761,-0.168865,-0.295407,0.900669
10.500000,0.143121,-0.312124,-0.169003,-0.385280,0.870380
11.000000,0.119570,-0.288719,-0.169150,-0.473385,0.826790
11.500000,0.120378,-0.289817,-0.169439,-0.556530,0.770455
12.000000,0.139999,-0.309427,-0.169428,-0.629604,0.703977
12.500000,0.170531,-0.340242,-0.169711,-0.691849,0.630939
13.000000,0.216325,-0.385958,-0.169633,-0.743050,0.556145
13.500000,0.245473,-0.415010,-0.169537,-0.785150,0.481186
14.000000,0.260853,-0.430132,-0.169279,-0.821718,0.407116
14.500000,0.252467,-0.421502,-0.169036,-0.854950,0.332155
15.000000,0.221747,-0.390740,-0.168993,-0.885182,0.253624
15.500000,0.182843,-0.351807,-0.168964,-0.910902,0.169171
16.000000,0.146193,-0.315146,-0.168953,-0.929083,0.078459
16.500000,0.115698,-0.284933,-0.169235,-0.935059,-0.017747
17.000000,0.110347,-0.279755,-0.169408,-0.927798,-0.115940
17.500000,0.128649,-0.298217,-0.169568,-0.906879,-0.211343
18.000000,0.163054,-0.332781,-0.169726,-0.874009,-0.300450
18.500000,0.211065,-0.380630,-0.169565,-0.832885,-0.380109
19.000000,0.236725,-0.406212,-0.169486,-0.786052,-0.451813
19.500000,0.244488,-0.413862,-0.169373,-0.736871,-0.517954
20.000000,0.227009,-0.395992,-0.168983,-0.685782,-0.580495
20.500000,0.198162,-0.367089,-0.168928,-0.630946,-0.642514
21.000000,0.164305,-0.333269,-0.168964,-0.570007,-0.703720
21.500000,0.127365,-0.296248,-0.168884,-0.500378,-0.761640
22.000000,0.096620,-0.265729,-0.169109,-0.420472,-0.812606
22.500000,0.086185,-0.255482,-0.169297,-0.331694,-0.853445
23.000000,0.093794,-0.263328,-0.169533,-0.237424,-0.881441
23.500000,0.120345,-0.289985,-0.169641,-0.142783,-0.895548
24.000000,0.147143,-0.316779,-0.169636,-0.050522,-0.896975
24.500000,0.169648,-0.339142,-0.169494,0.037424,-0.889910
25.000000,0.191891,-0.361264,-0.169373,0.120164,-0.877827
25.500000,0.200637,-0.370045,-0.169408,0.200372,-0.862375
26.000000,0.199009,-0.368072,-0.169063,0.279854,-0.844132
26.500000,0.174344,-0.343436,-0.169092,0.361096,-0.820146
27.000000,0.143105,-0.311986,-0.168881,0.443970,-0.788068
27.500000,0.113910,-0.282956,-0.169046,0.526618,-0.744530
28.000000,0.093091,-0.262315,-0.169224,0.604673,-0.688491
28.500000,0.094436,-0.263820,-0.169384,0.674567,-0.621014
29.000000,0.115803,-0.285458,-0.169656,0.733162,-0.545055
29.500000,0.143336,-0.312965,-0.169629,0.778982,-0.464310
30.000000,0.178135,-0.347875,-0.169740,0.814738,-0.382980
