t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.232722,-0.434924,-0.202203,1.000000,0.000000
0.500000,0.219274,-0.421169,-0.201894,0.993408,0.103665
1.000000,0.240945,-0.442873,-0.201927,0.975299,0.205569
1.500000,0.266192,-0.468064,-0.201872,0.946924,0.303898
2.000000,0.278714,-0.480483,-0.201769,0.909619,0.398055
2.500000,0.270538,-0.472227,-0.201689,0.864117,0.488121
3.000000,0.242801,-0.444439,-0.201638,0.810318,0.574140
3.500000,0.208019,-0.409725,-0.201705,0.747622,0.655457
4.000000,0.180357,-0.382074,-0.201717,0.675740,0.730581
4.500000,0.172357,-0.374215,-0.201858,0.595245,0.797501
5.000000,0.186119,-0.388145,-0.202025,0.507634,0.854539
5.500000,0.211258,-0.413186,-0.201928,0.414984,0.900915
6.000000,0.239132,-0.441021,-0.201889,0.319259,0.936974
6.500000,0.250854,-0.452610,-0.201756,0.221531,0.963436
7.000000,0.246434,-0.448221,-0.201787,0.122108,0.980990
7.500000,0.219544,-0.421188,-0.201644,0.020933,0.989315
8.000000,0.187387,-0.389058,-0.201671,-0.081824,0.987554
8.500000,0.165090,-0.366928,-0.201837,-0.185037,0.974586
9.000000,0.162590,-0.364487,-0.201897,-0.286541,0.949785
9.500000,0.178421,-0.380388,-0.201967,-0.384183,0.913378
10.000000,0.207151,-0.409116,-0.201966,-0.476209,0.866773
10.500000,0.230786,-0.432627,-0.201841,-0.561782,0.811572
11.000000,0.242782,-0.444534,-0.201751,-0.641083,0.749148
11.500000,0.235908,-0.437674,-0.201766,-0.714311,0.679967
12.000000,0.211278,-0.412931,-0.201653,-0.781179,0.603799
12.500000,0.179895,-0.381585,-0.201690,-0.840746,0.520194
13.000000,0.158552,-0.360350,-0.201798,-0.891369,0.429536
13.500000,0.157332,-0.359156,-0.201824,-0.931349,0.333193
14.000000,0.175089,-0.377092,-0.202004,-0.959770,0.233192
14.500000,0.204200,-0.406186,-0.201986,-0.976750,0.131783
15.000000,0.223945,-0.425776,-0.201832,-0.983117,0.030445
15.500000,0.229365,-0.431141,-0.201776,-0.980041,-0.070304
16.000000,0.219363,-0.421040,-0.201676,-0.967964,-0.170291
16.500000,0.191137,-0.392863,-0.201725,-0.946314,-0.269593
17.000000,0.163076,-0.364842,-0.201767,-0.914326,-0.367457
17.500000,0.149627,-0.351496,-0.201869,-0.871397,-0.462210
18.000000,0.150681,-0.352621,-0.201939,-0.817561,-0.551536
18.500000,0.170908,-0.372887,-0.201979,-0.754062,-0.633667
19.000000,0.202819,-0.404785,-0.201967,-0.682854,-0.707467
19.500000,0.227571,-0.429374,-0.201803,-0.605530,-0.772834
20.000000,0.234541,-0.436311,-0.201769,-0.523100,-0.830234
20.500000,0.222964,-0.424621,-0.201657,-0.435670,-0.880038
21.000000,0.195252,-0.396946,-0.201694,-0.342995,-0.921723
21.500000,0.169330,-0.371082,-0.201751,-0.245345,-0.954105
22.000000,0.153035,-0.354861,-0.201826,-0.143799,-0.975479
22.500000,0.155376,-0.357338,-0.201962,-0.039997,-0.984861
23.000000,0.177570,-0.379534,-0.201964,0.063548,-0.982331
23.500000,0.211600,-0.413572,-0.201972,0.164960,-0.968869
24.000000,0.235092,-0.436931,-0.201839,0.263180,-0.945606
24.500000,0.242933,-0.444723,-0.201790,0.358265,-0.913618
25.000000,0.229492,-0.431115,-0.201623,0.450071,-0.873055
25.500000,0.192601,-0.394207,-0.201606,0.538454,-0.823097
26.000000,0.161461,-0.363226,-0.201765,0.622360,-0.763336
26.500000,0.149121,-0.350988,-0.201867,0.699809,-0.693934
27.000000,0.155502,-0.357419,-0.201916,0.768637,-0.615899
27.500000,0.176855,-0.378861,-0.202006,0.827763,-0.530964
28.000000,0.206568,-0.408501,-0.201933,0.876858,-0.441401
28.500000,0.226361,-0.428188,-0.201826,0.916422,-0.348545
29.000000,0.228236,-0.429983,-0.201747,0.947126,-0.252985
29.500000,0.207449,-0.409096,-0.201646,0.969011,-0.154633
30.000000,0.175904,-0.377603,-0.201699,0.981374,-0.053396
