t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.0,0.50063,-0.997926,-0.497296,1.0,0.0
0.2,0.498259,-0.995542,-0.497283,0.995047,0.099361
0.4,0.497306,-0.99459,-0.497284,0.980245,0.197741
0.6,0.496606,-0.99389,-0.497284,0.955741,0.294164
0.8,0.496018,-0.993302,-0.497285,0.921776,0.387675
1.0,0.495542,-0.992826,-0.497284,0.878686,0.477349
1.2,0.495155,-0.99244,-0.497285,0.826899,0.562298
1.4,0.494758,-0.992043,-0.497285,0.766927,0.64168
1.6,0.494337,-0.991622,-0.497285,0.699363,0.714709
1.8,0.494195,-0.991481,-0.497286,0.624876,0.780664
2.0,0.494079,-0.991365,-0.497285,0.544205,0.83889
2.2,0.493808,-0.991093,-0.497285,0.458147,0.888812
2.4,0.493344,-0.990628,-0.497285,0.367554,0.929934
2.6,0.492907,-0.990192,-0.497285,0.273322,0.96185
2.8,0.492533,-0.989819,-0.497285,0.176385,0.984244
3.0,0.492388,-0.989674,-0.497286,0.077702,0.996896
3.2,0.492455,-0.98974,-0.497286,-0.021749,0.999679
3.4,0.492572,-0.989859,-0.497287,-0.120984,0.992566
3.6,0.492832,-0.990118,-0.497286,-0.219021,0.975627
3.8,0.493163,-0.990449,-0.497287,-0.314889,0.949031
4.0,0.493481,-0.990767,-0.497287,-0.407638,0.91304
4.2,0.493705,-0.990991,-0.497286,-0.496351,0.86801
4.4,0.493905,-0.991191,-0.497286,-0.580149,0.814387
4.6,0.493841,-0.991127,-0.497286,-0.658204,0.752701
4.8,0.493738,-0.991023,-0.497285,-0.729742,0.683564
5.0,0.493738,-0.991024,-0.497286,-0.794057,0.607661
5.2,0.493605,-0.990891,-0.497285,-0.85051,0.525744
5.4,0.49329,-0.990574,-0.497285,-0.898541,0.438622
5.6,0.492875,-0.99016,-0.497285,-0.937678,0.347157
5.8,0.492524,-0.989809,-0.497285,-0.96753,0.252257
6.0,0.49226,-0.989545,-0.497285,-0.987804,0.15486
6.2,0.491877,-0.989162,-0.497285,-0.998299,0.05593
6.4,0.491354,-0.988638,-0.497284,-0.99891,-0.043553
6.6,0.490605,-0.987889,-0.497284,-0.989631,-0.142605
6.8,0.489768,-0.987053,-0.497285,-0.970555,-0.240246
7.0,0.489361,-0.986646,-0.497285,-0.941871,-0.335508
7.2,0.489037,-0.986321,-0.497285,-0.903864,-0.427448
7.4,0.488759,-0.986045,-0.497285,-0.856908,-0.515156
7.6,0.488638,-0.985923,-0.497285,-0.801468,-0.597763
7.8,0.488441,-0.985726,-0.497285,-0.738095,-0.674452
8.0,0.488059,-0.985344,-0.497285,-0.667414,-0.744463
8.2,0.487754,-0.98504,-0.497286,-0.590126,-0.807104
8.4,0.48758,-0.984866,-0.497285,-0.506996,-0.861754
8.6,0.487388,-0.984674,-0.497285,-0.418847,-0.907872
8.8,0.487192,-0.984478,-0.497286,-0.32655,-0.945001
9.0,0.487195,-0.984482,-0.497287,-0.23102,-0.972776
9.2,0.487465,-0.984751,-0.497286,-0.133203,-0.99092
9.4,0.48774,-0.985027,-0.497287,-0.034068,-0.999253
9.6,0.48809,-0.985377,-0.497287,0.065404,-0.997694
9.8,0.488423,-0.98571,-0.497287,0.164228,-0.986257
10.0,0.488871,-0.986158,-0.497287,0.261427,-0.965056
10.2,0.489441,-0.986728,-0.497287,0.356037,-0.9343
10.4,0.489851,-0.987138,-0.497287,0.447123,-0.894294
10.6,0.490013,-0.987299,-0.497286,0.533782,-0.845434
10.8,0.489924,-0.987211,-0.497286,0.615157,-0.788203
11.0,0.489976,-0.987263,-0.497286,0.690443,-0.723169
11.2,0.490064,-0.987351,-0.497287,0.758894,-0.650975
11.4,0.490341,-0.987628,-0.497287,0.819832,-0.572337
11.6,0.49072,-0.988007,-0.497287,0.872653,-0.488032
11.8,0.49102,-0.988307,-0.497286,0.916834,-0.398896
12.0,0.491071,-0.988357,-0.497286,0.951939,-0.305809
12.2,0.491278,-0.988565,-0.497287,0.97762,-0.209694
12.4,0.491496,-0.988782,-0.497286,0.993623,-0.111504
12.6,0.491685,-0.988971,-0.497286,0.999789,-0.012208
