dim,n,width,cx,cp,cu,x,h,t,tdg,p
1,5,24,4862,84,24,182,1248,2496,1872,10
1,6,28,6872,112,32,266,1756,3512,2634,12
1,7,32,9210,140,40,366,2344,4688,3516,14
1,8,36,11876,168,48,482,3012,6024,4518,16
2,5,82,34050,3262,932,438,10384,20768,15576,6
2,6,98,48544,4606,1316,622,14780,29560,22170,7
2,7,114,65518,6174,1764,838,19928,39856,29892,8
2,8,130,84988,7966,2276,1086,25828,51656,38742,9
3,5,97,35268,3262,932,456,10724,21448,16086,6
3,6,116,50224,4606,1316,644,15248,30496,22872,7
3,7,135,67712,6174,1764,864,20540,41080,30810,8
3,8,154,87756,7966,2276,1116,26600,53200,39900,9
